,dbs,evidence type,methods,ntissues,pmids,symbol1,symbol2,uniprot1,uniprot2
0,,exp,coexpression,0,,ANGPTL4,ANGPTL4,xxxxxx,xxxxxx
1,,exp,coexpression,0,,CD163,MRC1,xxxxxx,xxxxxx
2,,exp,coexpression,0,,ICAM1,MAFF,xxxxxx,xxxxxx
3,,exp,coexpression,0,,NR4A1,SLC2A3,xxxxxx,xxxxxx
4,,exp,coexpression,0,,C1QC,CD14,xxxxxx,xxxxxx
5,,exp,coexpression,0,,COL14A1,FBLN2,xxxxxx,xxxxxx
6,,exp,coexpression,0,,TMEM176B,TMEM176B,xxxxxx,xxxxxx
7,,exp,coexpression,0,,MAFB,MAFB,xxxxxx,xxxxxx
8,,exp,coexpression,0,,LYVE1,MRC1,xxxxxx,xxxxxx
9,,exp,coexpression,0,,SOCS3,ZFP36,xxxxxx,xxxxxx
10,,exp,coexpression,0,,IGFBP3,IGFBP3,xxxxxx,xxxxxx
11,,exp,coexpression,0,,FGL2,FGL2,xxxxxx,xxxxxx
12,,exp,coexpression,0,,STC1,STC1,xxxxxx,xxxxxx
13,,exp,coexpression,0,,C11orf96,JUNB,xxxxxx,xxxxxx
14,,exp,coexpression,0,,C1QC,LAPTM5,xxxxxx,xxxxxx
15,,exp,coexpression,0,,RASD1,RASD1,xxxxxx,xxxxxx
16,,exp,coexpression,0,,ABCA8,ABCA8,xxxxxx,xxxxxx
17,,exp,coexpression,0,,TLR2,TLR2,xxxxxx,xxxxxx
18,,exp,coexpression,0,,MT2A,MT2A,xxxxxx,xxxxxx
19,,exp,coexpression,0,,COL1A2,ISLR,xxxxxx,xxxxxx
20,,exp,coexpression,0,,FN1,FN1,xxxxxx,xxxxxx
21,,exp,coexpression,0,,CCDC80,COL14A1,xxxxxx,xxxxxx
22,,exp,coexpression,0,,JUN,JUN,xxxxxx,xxxxxx
23,,exp,coexpression,0,,FBLN1,LUM,xxxxxx,xxxxxx
24,,exp,coexpression,0,,C11orf96,CDKN1A,xxxxxx,xxxxxx
25,,exp,coexpression,0,,ACADL,ACADL,xxxxxx,xxxxxx
26,,exp,coexpression,0,,GALNT17,GALNT17,xxxxxx,xxxxxx
27,,exp,coexpression,0,,SLIT2,SLIT2,xxxxxx,xxxxxx
28,,exp,coexpression,0,,OSMR,OSMR,xxxxxx,xxxxxx
29,,exp,coexpression,0,,C1QC,F13A1,xxxxxx,xxxxxx
30,,exp,coexpression,0,,COL3A1,MRC2,xxxxxx,xxxxxx
31,,exp,coexpression,0,,CCDC80,LUM,xxxxxx,xxxxxx
32,,exp,coexpression,0,,NAMPT,NAMPT,xxxxxx,xxxxxx
33,,exp,coexpression,0,,CD68,MS4A6A,xxxxxx,xxxxxx
34,,exp,coexpression,0,,C11orf96,DEPP1,xxxxxx,xxxxxx
35,,exp,coexpression,0,,CHI3L1,CHI3L1,xxxxxx,xxxxxx
36,,exp,coexpression,0,,SDC4,SDC4,xxxxxx,xxxxxx
